time,valence,arousal,videoID,start_time,end_time,P_id,probe
1754559020075.0,5.0,5.135,1.0,1754559017721.0,1754559022721.0,23,0
1754559025256.6875,5.75,6.25,1.0,1754559022722.0,1754559027722.0,23,0
1754559028888.0,7.825999999999999,6.87,1.0,1754559027723.0,1754559032723.0,23,0
1754559034857.9092,6.259696969696971,5.026060606060606,1.0,1754559032724.0,1754559037724.0,23,0
1754559038351.6,7.348000000000001,2.5460000000000003,1.0,1754559037725.0,1754559042725.0,23,0
1754559038351.6,7.348000000000001,2.5460000000000003,1.0,1754559037725.0,1754559042725.0,23,0
1754559050597.0,6.1061538461538465,2.023846153846154,1.0,1754559047727.0,1754559052727.0,23,0
1754559054816.7334,4.944666666666668,2.4413333333333336,1.0,1754559052728.0,1754559057728.0,23,1
1754559058878.6667,4.2,2.6,1.0,1754559057729.0,1754559062729.0,23,1
1754559066585.3333,5.0,2.6,1.0,1754559062730.0,1754559067730.0,23,1
1754559069264.0833,5.635833333333333,5.5675,1.0,1754559067731.0,1754559072731.0,23,0
1754559076703.4,7.6659999999999995,7.4,1.0,1754559072732.0,1754559077732.0,23,0
1754559076703.4,7.6659999999999995,7.4,1.0,1754559072732.0,1754559077732.0,23,0
1754559076703.4,7.6659999999999995,7.4,1.0,1754559072732.0,1754559077732.0,23,0
1754559076703.4,7.6659999999999995,7.4,1.0,1754559072732.0,1754559077732.0,23,0
1754559076703.4,7.6659999999999995,7.4,1.0,1754559072732.0,1754559077732.0,23,0
1754559076703.4,7.6659999999999995,7.4,1.0,1754559072732.0,1754559077732.0,23,0
1754559076703.4,7.6659999999999995,7.4,1.0,1754559072732.0,1754559077732.0,23,0
1754559076703.4,7.6659999999999995,7.4,1.0,1754559072732.0,1754559077732.0,23,0
1754559076703.4,7.6659999999999995,7.4,1.0,1754559072732.0,1754559077732.0,23,0
1754559076703.4,7.6659999999999995,7.4,1.0,1754559072732.0,1754559077732.0,23,0
1754559126199.5,7.688571428571429,5.9142857142857155,1.0,1754559122742.0,1754559127742.0,23,0
1754559126199.5,7.688571428571429,5.9142857142857155,1.0,1754559122742.0,1754559127742.0,23,0
1754559135687.7144,6.638571428571429,4.161428571428571,1.0,1754559132744.0,1754559137744.0,23,0
1754559138506.6667,5.98,3.8433333333333333,1.0,1754559137745.0,1754559142745.0,23,0
1754559145537.4119,4.779999999999999,2.5823529411764703,1.0,1754559142746.0,1754559147746.0,23,1
1754559149021.0,3.13,2.33,1.0,1754559147747.0,1754559152747.0,23,1
1754559149021.0,3.13,2.33,1.0,1754559147747.0,1754559152747.0,23,1
1754559149021.0,3.13,2.33,1.0,1754559147747.0,1754559152747.0,23,1
1754559149021.0,3.13,2.33,1.0,1754559147747.0,1754559152747.0,23,1
1754559149021.0,3.13,2.33,1.0,1754559147747.0,1754559152747.0,23,1
1754559149021.0,3.13,2.33,1.0,1754559147747.0,1754559152747.0,23,1
1754559149021.0,3.13,2.33,1.0,1754559147747.0,1754559152747.0,23,1
1754559149021.0,3.13,2.33,1.0,1754559147747.0,1754559152747.0,23,1
1754559149021.0,3.13,2.33,1.0,1754559147747.0,1754559152747.0,23,1
