User,Threshold_0.1,Threshold_0.2,Threshold_0.30000000000000004,Threshold_0.4,Threshold_0.5,Threshold_0.6000000000000001,Threshold_0.7000000000000001,Threshold_0.8,Threshold_0.9
1,0.3235294117647059,0.3382352941176471,0.3382352941176471,0.45588235294117646,0.8970588235294118,0.9852941176470589,0.9852941176470589,0.9117647058823529,0.7794117647058824
2,0.14705882352941177,0.6617647058823529,0.7941176470588235,0.9558823529411765,0.9852941176470589,0.9705882352941176,0.9852941176470589,0.9852941176470589,0.9558823529411765
3,0.0,0.19117647058823528,0.5882352941176471,0.7647058823529411,0.9117647058823529,0.9558823529411765,1.0,1.0,1.0
4,0.2647058823529412,0.2647058823529412,0.47058823529411764,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589
5,0.22058823529411764,0.38235294117647056,0.9264705882352942,1.0,1.0,1.0,1.0,0.9411764705882353,0.8382352941176471
6,0.5441176470588235,0.5735294117647058,0.8529411764705882,0.8970588235294118,0.8676470588235294,0.8676470588235294,0.8088235294117647,0.75,0.75
7,0.20588235294117646,0.8529411764705882,1.0,1.0,0.9852941176470589,0.9264705882352942,0.8676470588235294,0.8529411764705882,0.8382352941176471
8,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4264705882352941,0.47058823529411764,0.5294117647058824,0.6323529411764706,0.5882352941176471,0.5882352941176471
9,0.35294117647058826,0.6911764705882353,0.8970588235294118,1.0,1.0,0.9852941176470589,0.9558823529411765,0.9411764705882353,0.9411764705882353
10,0.2647058823529412,0.2647058823529412,0.2647058823529412,0.4117647058823529,0.8088235294117647,0.9411764705882353,0.8529411764705882,0.8088235294117647,0.75
11,0.5147058823529411,0.5441176470588235,0.5588235294117647,0.7647058823529411,0.9852941176470589,0.8529411764705882,0.6470588235294118,0.5735294117647058,0.4852941176470588
12,0.04411764705882353,0.19117647058823528,0.5441176470588235,0.6764705882352942,0.9558823529411765,0.9558823529411765,0.9558823529411765,0.9558823529411765,0.9558823529411765
13,0.4852941176470588,0.7647058823529411,0.8529411764705882,0.9558823529411765,0.9705882352941176,0.9117647058823529,0.6764705882352942,0.6323529411764706,0.6176470588235294
14,0.5147058823529411,0.75,0.8676470588235294,0.9558823529411765,0.8235294117647058,0.8088235294117647,0.8088235294117647,0.7941176470588235,0.7941176470588235
15,0.45588235294117646,0.8235294117647058,0.9852941176470589,1.0,1.0,1.0,0.9852941176470589,0.9411764705882353,0.9264705882352942
16,0.10294117647058823,0.16176470588235295,0.3088235294117647,0.9852941176470589,1.0,1.0,1.0,1.0,1.0
17,0.3508771929824561,0.6491228070175439,0.9473684210526315,0.9649122807017544,0.8596491228070176,0.7368421052631579,0.7017543859649122,0.6842105263157895,0.6666666666666666
18,0.5072463768115942,0.5072463768115942,0.6811594202898551,0.7536231884057971,0.6231884057971014,0.7246376811594203,0.7101449275362319,0.7101449275362319,0.7101449275362319
19,0.7857142857142857,0.8857142857142857,0.9714285714285714,0.9571428571428572,0.9428571428571428,0.9285714285714286,0.9142857142857143,0.9,0.8571428571428571
20,0.08571428571428572,0.08571428571428572,0.1,0.12857142857142856,0.5428571428571428,0.9857142857142858,0.9714285714285714,0.9714285714285714,0.9142857142857143
21,0.1076923076923077,0.1076923076923077,0.13846153846153847,0.3384615384615385,0.7076923076923077,0.9384615384615385,0.9076923076923077,0.8923076923076924,0.8923076923076924
22,0.4117647058823529,0.7941176470588235,0.9705882352941176,0.9705882352941176,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589
23,0.27941176470588236,0.29411764705882354,0.3088235294117647,0.8823529411764706,0.9705882352941176,0.9558823529411765,0.9411764705882353,0.8970588235294118,0.8970588235294118
24,0.029411764705882353,0.19117647058823528,0.6617647058823529,0.8676470588235294,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176
25,0.16176470588235295,0.16176470588235295,0.23529411764705882,0.4264705882352941,0.6176470588235294,0.75,0.8529411764705882,0.8529411764705882,0.8382352941176471
26,0.20588235294117646,0.4411764705882353,0.8676470588235294,0.9411764705882353,0.9411764705882353,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.9117647058823529
27,0.16176470588235295,0.16176470588235295,0.22058823529411764,0.7352941176470589,0.9705882352941176,0.9411764705882353,0.8823529411764706,0.8823529411764706,0.8823529411764706
28,0.16176470588235295,0.3235294117647059,0.5735294117647058,0.8235294117647058,1.0,1.0,1.0,1.0,1.0
29,0.27941176470588236,0.8529411764705882,1.0,0.9264705882352942,0.8823529411764706,0.8382352941176471,0.8382352941176471,0.8382352941176471,0.8382352941176471
30,0.1323529411764706,0.1323529411764706,0.1323529411764706,0.1323529411764706,0.1323529411764706,0.5882352941176471,0.8529411764705882,0.8676470588235294,0.8676470588235294
31,0.17647058823529413,0.20588235294117646,0.4411764705882353,0.8676470588235294,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058
32,0.2647058823529412,0.2647058823529412,0.2647058823529412,0.5735294117647058,0.9852941176470589,0.9705882352941176,0.7794117647058824,0.7352941176470589,0.7352941176470589
33,0.22058823529411764,0.23529411764705882,0.8088235294117647,0.9705882352941176,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.9117647058823529
34,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.22058823529411764,0.7941176470588235,0.9264705882352942,0.9117647058823529,0.9117647058823529
35,0.17647058823529413,0.3088235294117647,0.4117647058823529,0.8088235294117647,0.9411764705882353,0.9264705882352942,0.9264705882352942,0.9264705882352942,0.8823529411764706
36,0.6911764705882353,0.9411764705882353,0.9852941176470589,0.9852941176470589,0.9264705882352942,0.4117647058823529,0.36764705882352944,0.35294117647058826,0.35294117647058826
37,0.22058823529411764,0.5735294117647058,0.8088235294117647,0.9558823529411765,0.9558823529411765,0.9264705882352942,0.8823529411764706,0.8529411764705882,0.8529411764705882
38,0.2647058823529412,0.2647058823529412,0.3382352941176471,0.6470588235294118,0.8235294117647058,0.8970588235294118,0.9264705882352942,0.7794117647058824,0.7352941176470589
39,0.11764705882352941,0.45588235294117646,0.6029411764705882,0.7794117647058824,0.8970588235294118,1.0,1.0,1.0,0.8970588235294118
40,0.4852941176470588,0.7794117647058824,0.9264705882352942,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9411764705882353,0.8970588235294118,0.8823529411764706
