GSR_mean,GSR_variance,HR_mean,HR_variance,75_percentile_GSR,75_percentile_HR,GSRmean_persen_diff,HRmean_persent_diff,GSRmean_diff,HRmean_diff,valence_acc_video,arousal_acc_video,P_id,video_id
0.4924590163934426,0.0009778016662187602,0.5557766990291262,0.0003385073993778864,0.5204918032786885,0.5685679611650485,0.08473348000794534,0.06528843387840882,0.08473348000794534,0.06528843387840882,0,1,22,8
0.5045901639344262,0.0007663531308787981,0.5553883495145631,0.00043469931190498587,0.5245901639344263,0.5697815533980582,0.07260233246696168,0.0649000843638457,0.07260233246696168,0.0649000843638457,0,1,22,8
0.5095081967213114,0.0008367643106691768,0.5564077669902913,0.00045493448958431487,0.5245901639344263,0.5643203883495145,0.0676842996800765,0.0659195018395739,0.0676842996800765,0.0659195018395739,0,1,22,8
0.5104918032786885,0.0006558452029024471,0.5544174757281554,0.0004208902818361764,0.5245901639344263,0.558252427184466,0.06670069312269944,0.063929210577438,0.06670069312269944,0.063929210577438,0,1,22,8
0.5216393442622951,0.0006739048642837946,0.554514563106796,0.0004199759638043167,0.5409836065573771,0.558252427184466,0.05555315213909284,0.06402629795607867,0.05555315213909284,0.06402629795607867,0,1,22,8
0.5459016393442623,0.0008089223327062607,0.5544174757281553,0.0003299297766047692,0.5737704918032787,0.5594660194174756,0.03129085705712564,0.06392921057743789,0.03129085705712564,0.06392921057743789,0,1,22,8
0.561967213114754,0.0006991668906208,0.5542233009708738,0.00044363512112357396,0.5860655737704918,0.5558252427184466,0.015225283286633973,0.06373503582015644,0.015225283286633973,0.06373503582015644,0,1,22,8
0.5737704918032788,0.0008814834721848962,0.5550970873786408,0.0004433146385144685,0.5901639344262295,0.558252427184466,0.003422004598109152,0.06460882222792347,0.003422004598109152,0.06460882222792347,0,1,22,8
0.580327868852459,0.0007847352862133842,0.5568932038834952,0.00044211518522009575,0.6065573770491803,0.5746359223300971,0.0031353724510710945,0.06640493873277781,0.0031353724510710945,0.06640493873277781,0,1,22,8
0.5826229508196722,0.0010342381080354745,0.5555825242718446,0.0004982208502215096,0.6065573770491803,0.558252427184466,0.0054304544182842696,0.06509425912112726,0.0054304544182842696,0.06509425912112726,0,1,22,8
0.5924590163934427,0.0006235958075786086,0.5550970873786408,0.0004294113488547456,0.6065573770491803,0.5612864077669902,0.01526651999205475,0.06460882222792347,0.01526651999205475,0.06460882222792347,0,1,22,8
0.5895081967213115,0.00046181134103735636,0.5555339805825242,0.0003927420114996697,0.6065573770491803,0.5722087378640777,0.012315700319923573,0.06504571543180687,0.012315700319923573,0.06504571543180687,0,1,22,8
0.5895081967213115,0.0007735554958344539,0.5553883495145631,0.000413255254972193,0.6065573770491803,0.5649271844660194,0.012315700319923573,0.0649000843638457,0.012315700319923573,0.0649000843638457,0,1,22,8
0.5950819672131149,0.0008519215264713796,0.5555825242718446,0.00034010038646432243,0.6229508196721312,0.566747572815534,0.017889470811726982,0.06509425912112726,0.017889470811726982,0.06509425912112726,0,1,22,8
0.5891803278688524,0.000853641494221985,0.5549029126213592,0.0003555683853332073,0.6065573770491803,0.5600728155339806,0.011987831467464516,0.0644146474706418,0.011987831467464516,0.0644146474706418,0,1,22,8
0.5940983606557377,0.0008982531577532929,0.555631067961165,0.00042130266754642257,0.6229508196721312,0.558252427184466,0.01690586425434981,0.06514280281044765,0.01690586425434981,0.06514280281044765,0,1,22,8
0.5970491803278688,0.0004954582101585606,0.5556796116504854,0.0003637029880290316,0.6065573770491803,0.5649271844660194,0.019856683926480878,0.06519134649976804,0.019856683926480878,0.06519134649976804,0,1,22,8
0.5940983606557377,0.00040376242945444835,0.5556796116504854,0.0004494792157602032,0.6065573770491803,0.5600728155339806,0.01690586425434981,0.06519134649976804,0.01690586425434981,0.06519134649976804,0,1,22,8
