start_time_sec,end_time_sec,num_samples,pupil_diameter_mean,pupil_diameter_std,diameter_3d_mean,diameter_3d_std,sphere_radius_mean,circle_3d_radius_mean,ellipse_axis_a_mean,ellipse_axis_b_mean,ellipse_angle_mean,ellipse_angle_std,confidence_x_mean,confidence_y_mean,confidence_x_std,confidence_y_std,blink_count,gaze_movement_mean,gaze_movement_std,gaze_dir_variability,eye_center_movement_mean,eye_center_movement_std,missing_value_ratio
1059126.230948,1059131.230948,1149,32.419571451352375,4.474233045756916,2.6905982395444332,0.5631120240251927,10.392304845413264,1.3452991197722166,23.43124220286955,32.419571451352375,83.17114057970694,55.15878846050273,0.9462954549507667,0.9432472577798385,0.10898824156431605,0.1106732114089573,47,131.62261069420632,1162.4766493211828,0.18900977187746668,4.748973086977183,30.346044545127413,0.028537400943612293
1059131.230948,1059136.230948,1031,32.386009104123026,4.382201566597953,2.7575441600803234,0.5403720188437577,10.392304845413262,1.3787720800401617,23.68194413507669,32.386009104123026,77.06875436659863,51.302801294796325,0.9628886901349852,0.9613578781847195,0.07138554872927669,0.06754561599168281,13,45.694638432543705,338.86576922240255,0.2172595578387124,8.48661142546855,40.17775780778297,0.03316487144145524
1059136.230948,1059141.230948,1099,34.373278687878454,3.5494102858482917,3.026944074641586,0.36105867145916826,10.392304845413264,1.513472037320793,26.80611640690501,34.373278687878454,92.01732370517313,68.42687578219946,0.905911639651964,0.9028414853643864,0.1399190099323728,0.1326151953135879,31,87.52463075584666,319.6951944505469,0.1450725717158299,7.187179165300189,37.08861877697307,0.025972574748974346
1059141.230948,1059146.230948,1122,36.28420346478542,3.276572330343479,2.8957928505543844,0.39564224221711924,10.392304845413264,1.4478964252771922,27.570962481867074,36.28420346478542,90.647096777623,76.97923432089115,0.9169716871874588,0.9170207921985501,0.09716217104905915,0.08066129141334276,13,105.40878805828392,544.1441504607992,0.1637258752288558,2.6675808695597576,22.845464942698605,0.026268880758044844
1059146.230948,1059151.230948,1201,34.452674789745686,3.315176204011488,2.767015026254679,0.37907743773991825,10.392304845413264,1.3835075131273395,25.09529136061891,34.452674789745686,87.3549731596398,66.92945984271377,0.9458048575462994,0.9458097762303884,0.08782827371665712,0.06943384411116103,6,94.71669338524188,795.9320132154372,0.12043866897614382,0.8336121703129994,12.818896823331835,0.019033846063952555
1059151.230948,1059156.230948,1087,32.69758261402244,2.8089600493515263,2.653174582580781,0.31150419642090305,10.392304845413264,1.3265872912903904,23.593520198644796,32.69758261402244,83.59910055310696,58.09836499560732,0.9397183676721291,0.9395122159301759,0.09860646668230254,0.07179084103470414,15,218.84850148933876,2306.228688692501,0.1496776241361947,3.7490175566253967,26.988355850004,0.025194079956100002
1059156.230948,1059161.230948,1238,32.514479534151796,1.2621811161923773,2.6681002579263717,0.16623968675245546,10.392304845413264,1.3340501289631859,23.237173700507398,32.514479534151796,90.60716537904324,60.28794411168461,0.9903892613110036,0.9903892613110036,0.027820166675333134,0.01848376588326804,0,4.8103456508408415,10.847120434621917,0.02668075884704742,0.00015544183977130494,0.002647346521749025,0.017543859649122806
1059161.230948,1059166.230948,1239,32.33119477888926,3.0985982999079646,2.7119636949494805,0.25859630542378564,10.392304845413262,1.3559818474747403,22.596529709719647,32.33119477888926,75.03791938483276,52.6798837200307,0.9513998717321852,0.9513998717321852,0.07143481826100957,0.03765922221266512,0,6.766036453092748,16.750027762758656,0.07975730481009738,0.00021193434646076258,0.004518860313471014,0.017543859649122806
1059166.230948,1059171.230948,1212,32.334299072582,1.62207254860725,2.7639452121398347,0.15175780638904238,10.392304845413264,1.3819726060699173,21.264945305591947,32.334299072582,86.70657423049619,50.58479228548346,0.9963638638629981,0.9963548057676705,0.023522915052616666,0.02191009955142049,1,39.33571264088058,750.8591199743956,0.02733507978134803,0.3276963698910068,8.04364725993376,0.017891262810491575
1059171.230948,1059176.230948,963,13201723.280125499,409678018.9742556,2.8051206839040033,0.3323659240613053,10.392304845413264,1.4025603419520016,24.893230754113105,13201723.280125499,79.99817323453381,53.12961964867746,0.9423615613893324,0.9422413410313882,0.094462260419599,0.07481932913177337,10,80.31390876289571,343.0806619272882,0.24615194051931957,6.701393547367834,35.80745282792847,0.04235667049243045
