window_id,GSR_mean,GSR_variance,HR_mean,HR_variance,75_percentile_GSR,75_percentile_HR,GSRmean_persen_diff,HRmean_persent_diff,GSRmean_diff,HRmean_diff,valence_acc_video,arousal_acc_video,P_id,video_id,Score,time,valence,arousal,videoID,start_time,end_time,P_id.1,probe,prev_window,diameter_mean,diameter_std,diameter_min,diameter_max,confidence_gaze_mean,confidence_gaze_<lambda_0>,norm_pos_x_gaze_mean,norm_pos_x_gaze_std,norm_pos_y_gaze_mean,norm_pos_y_gaze_std,gaze_normal0_x_mean,gaze_normal0_x_std,gaze_normal0_y_mean,gaze_normal0_y_std,gaze_normal0_z_mean,gaze_normal0_z_std,gaze_point_3d_x_mean,gaze_point_3d_x_std,gaze_point_3d_y_mean,gaze_point_3d_y_std,gaze_point_3d_z_mean,gaze_point_3d_z_std,ellipse_axis_a_mean,ellipse_axis_b_mean
0.0,0.4241666666666667,0.0089368055555555,0.3307692307692306,0.0332544378698224,0.5,0.3461538461538461,,,,,1.0,1.0,1.0,1.0,,1751711137463.0,5.0,5.0,1.0,1751711137463.0,1751711142463.0,1.0,1.0,1.0,23.714802473574082,2.1783609018908745,13.816619439358298,29.042025313650186,0.8998268090415439,69,0.48084005299928906,0.3067973328022056,0.5257096228515895,0.22375461743026173,-0.1328533416165733,0.12188268087296847,-0.22098401119837294,0.10891013200063666,0.9515183677763133,0.03788939104539049,0.5518159816752088,74.03975987491566,-39.670799528185604,306.30171464396693,209.6926380982768,618.9399612643215,18.546620589807052,23.714802473574082
1.0,0.4191666666666667,0.0087784722222222,0.3338461538461538,0.0365940828402366,0.5,0.3461538461538461,,,,,1.0,1.0,1.0,1.0,,1751711146395.2,6.333333333333331,5.8,1.0,1751711142464.0,1751711147464.0,1.0,0.0,1.0,21.732840924020827,1.3390084278698833,11.279966665738424,25.27991753868753,0.9106943971079949,96,0.4969593201513146,0.04989432592416496,0.5985498228612322,0.12323543212447233,-0.10680197510827225,0.15072289610329648,-0.24542191952677225,0.07722435476651891,0.9474491234799284,0.04524038407197338,6.3791324911235545,74.6383095727548,-50.89983499206927,195.10840180288102,261.22843785253036,609.1689006745185,16.937705664247197,21.732840924020827
2.0,0.4333333333333333,0.0087499999999999,0.3376923076923077,0.0358159763313609,0.5,0.3749999999999999,,,,,1.0,1.0,1.0,1.0,,1751711148756.75,7.43375,7.56875,1.0,1751711147465.0,1751711152465.0,1.0,0.0,0.0,22.25575146510566,1.3425291144575695,13.202408137834835,26.525472547181103,0.9558802701538885,7,0.5180978263563291,0.14122069418837682,0.48578121966412025,0.21182972357632573,-0.09296569621934986,0.2164374970424853,-0.180097769403529,0.12769090731240512,0.9461915104929975,0.023349850496342493,7.2086524237452325,39.8043866334853,-10.261765968681845,62.90830859798476,153.7275162895449,104.56962681271177,17.590821099918095,22.25575146510566
3.0,0.4166666666666666,0.0071527777777777,0.4292307692307691,0.0483644970414201,0.4895833333333333,0.5769230769230769,,,,,1.0,1.0,1.0,1.0,,1751711148756.75,7.43375,7.56875,1.0,1751711147465.0,1751711152465.0,1.0,0.0,0.0,22.306125538943913,1.3454862209606746,13.97684611620409,25.543026047616152,0.963330402858693,47,0.5303723751875066,0.06978123772707408,0.5777589082830995,0.10890044684797803,-0.0801729618121341,0.12934216822285555,-0.24336466176940744,0.06403355983003524,0.9556470548103667,0.016503390558093887,11.23289561516154,33.4750268696798,-30.902505124191496,176.66176316624595,188.4852893369715,455.36571899051836,17.548180817304306,22.306125538943913
4.0,0.4116666666666667,0.0084472222222222,0.3353846153846153,0.0368662721893491,0.5,0.3749999999999999,,,,,1.0,1.0,1.0,1.0,,1751711148756.75,7.43375,7.56875,1.0,1751711147465.0,1751711152465.0,1.0,0.0,0.0,21.391916603784082,1.470342317135695,14.911691355531204,34.076663084375085,0.8400726086563446,167,0.6056331922657698,0.22091208077120536,0.5221144624538454,1.2003381969170248,0.07155279785030322,0.17142920800854292,-0.19924432149051893,0.1281355681907321,0.9520740072784007,0.054529730320946615,53.552967520199864,205.99901427488916,-33.8109837500905,261.5604515464965,301.7558720925969,963.8219308946659,18.074442504109832,21.391916603784082
5.0,0.4075,0.0071729166666666,0.3423076923076922,0.0372337278106509,0.4583333333333333,0.3749999999999999,,,,,1.0,1.0,1.0,1.0,,1751711148756.75,7.43375,7.56875,1.0,1751711147465.0,1751711152465.0,1.0,0.0,0.0,50286355.55565143,1252119648.1883745,12.747458458430785,31177527829.607967,0.8048000382685444,227,0.4786410456413646,0.19584305969883756,0.4937959208042836,0.8018907178100978,-0.07380482619260702,0.23754396135389919,-0.20534159275827432,0.09828292624208063,0.9396878218276307,0.057888240902201404,-5.707092820678151,65.70871241084816,-119.61174015578347,2217.0342672809425,435.4793094501961,4537.520778275112,16.162807892482167,50286355.55565143
6.0,0.4025,0.0066395833333333,0.3415384615384614,0.0319905325443787,0.4583333333333333,0.3461538461538461,,,,,1.0,1.0,1.0,1.0,,1751711172423.0,8.2,7.13,1.0,1751711167469.0,1751711172469.0,1.0,0.0,0.0,62788991.29740376,1560908992.1242254,16.024945490097384,38803582240.50912,0.8900055701908794,67,0.7803852718692201,0.23043928795453106,0.4123783761967418,0.14559062861680075,0.37329037417609334,0.33130298089599086,-0.0673137463370938,0.06817731613997283,0.8560733052914866,0.09463355017488632,-72.40396091994458,3089.1131854379946,-0.9539198820970799,2628.9671648218973,929.2201544956582,16325.09361925215,20.893998804391682,62788991.29740376
7.0,0.3966666666666666,0.0073777777777777,0.3592307692307692,0.0327579881656804,0.4583333333333333,0.3846153846153846,,,,,1.0,1.0,1.0,1.0,,1751711174270.3,7.56,6.305999999999999,1.0,1751711172470.0,1751711177470.0,1.0,0.0,0.0,23.714105073946328,1.002438823066907,17.73090633803222,28.298398812938515,0.9111598767469214,50,0.7826994041412669,0.08920196726389813,0.39516192154275315,0.08758697680796601,0.323006097092228,0.1446972905271906,-0.0815897215932702,0.06520901128867404,0.927005002523582,0.06713363796451279,72.59744863036033,68.67817818010118,4.764060972055032,65.44802068126701,150.01261445087195,218.65473782217035,21.834800284931976,23.714105073946328
8.0,0.3975,0.0082784722222222,0.3369230769230769,0.034175147928994,0.4583333333333333,0.3461538461538461,,,,,1.0,1.0,1.0,1.0,,1751711174270.3,7.56,6.305999999999999,1.0,1751711172470.0,1751711177470.0,1.0,0.0,0.0,24.4850513295088,1.0789649709649123,12.011938637293085,30.647717943297227,0.9216103622932207,46,0.7844751536192757,0.05421245321389382,0.476226254441524,0.12169017544092564,0.315635072598304,0.09190140850297335,-0.1414545170613967,0.06274855515575765,0.9300463906169919,0.054847799164989684,69.90786958083007,27.72683691953134,-2.3312943402258086,30.35488611357158,134.18531803653482,45.44025886236509,22.14214990373751,24.4850513295088
9.0,0.3841666666666667,0.0069645833333333,0.3007692307692308,0.0171414201183431,0.4583333333333333,0.3461538461538461,,,,,1.0,1.0,1.0,1.0,,1751711187463.0,6.87,6.07,1.0,1751711182472.0,1751711187472.0,1.0,0.0,0.0,25.07587222225924,1.8030779721085795,11.236291465877578,33.14363084434477,0.8926758632642159,122,0.800278789820294,0.0643669957513085,0.5208090134309848,0.14882769409196134,0.3938914852731936,0.11697591201063244,-0.16836201418246605,0.05694079294177766,0.8905355314675061,0.08089820737142514,105.4750852780852,199.3139456121041,-15.351198051610574,100.49356102318329,199.71406452956705,416.0549225126611,22.466235892460166,25.07587222225924
