Start,Border,End,Score
1751711731125,1751711733625,1751711736125,0.0
1751711736125,1751711738625,1751711741125,0.0
1751711741125,1751711743625,1751711746125,0.0
1751711746125,1751711748625,1751711751125,0.0
1751711751125,1751711753625,1751711756125,0.0
1751711756125,1751711758625,1751711761125,0.0
1751711761125,1751711763625,1751711766125,0.0
1751711766125,1751711768625,1751711771125,0.0
1751711771125,1751711773625,1751711776125,0.0
1751711776125,1751711778625,1751711781125,0.0
1751711781125,1751711783625,1751711786125,0.0
1751711786125,1751711788625,1751711791125,0.0
1751711791125,1751711793625,1751711796125,0.0
1751711796125,1751711798625,1751711801125,0.0
1751711801125,1751711803625,1751711806125,0.0
1751711806125,1751711808625,1751711811125,0.0
1751711811125,1751711813625,1751711816125,0.0
1751711816125,1751711818625,1751711821125,0.0
1751711821125,1751711823625,1751711826125,0.0
1751711826125,1751711828625,1751711831125,0.0
1751711831125,1751711833625,1751711836125,0.0
1751711836125,1751711838625,1751711841125,0.0
1751711841125,1751711843625,1751711846125,0.0
1751711846125,1751711848625,1751711851125,0.0
1751711851125,1751711853625,1751711856125,0.0
1751711856125,1751711858625,1751711861125,0.0
1751711861125,1751711863625,1751711866125,0.0
1751711866125,1751711868625,1751711871125,0.0
1751711871125,1751711873625,1751711876125,0.0
1751711876125,1751711878625,1751711881125,0.0
1751711881125,1751711883625,1751711886125,0.0
1751711886125,1751711888625,1751711891125,0.0
1751711891125,1751711893625,1751711896125,0.0
1751711896125,1751711898625,1751711901125,0.0
