,Time_series,GSR,HR,timestamp,time2,subject,video_id
0,1821918,392,526,1753957839800,2025-07-31 16:00:39.800418+05:30,8,2
1,1822019,393,522,1753957839901,2025-07-31 16:00:39.901278+05:30,8,2
2,1822119,392,511,1753957840002,2025-07-31 16:00:40.002187+05:30,8,2
3,1822221,392,518,1753957840103,2025-07-31 16:00:40.103153+05:30,8,2
4,1822322,393,512,1753957840204,2025-07-31 16:00:40.204041+05:30,8,2
5,1822423,394,515,1753957840304,2025-07-31 16:00:40.304918+05:30,8,2
6,1822524,393,526,1753957840405,2025-07-31 16:00:40.405701+05:30,8,2
7,1822624,392,515,1753957840507,2025-07-31 16:00:40.506988+05:30,8,2
8,1822726,393,516,1753957840607,2025-07-31 16:00:40.607578+05:30,8,2
9,1822826,393,512,1753957840708,2025-07-31 16:00:40.708527+05:30,8,2
10,1822927,392,515,1753957840809,2025-07-31 16:00:40.809317+05:30,8,2
11,1823028,391,515,1753957840910,2025-07-31 16:00:40.910314+05:30,8,2
12,1823129,392,528,1753957841011,2025-07-31 16:00:41.011073+05:30,8,2
13,1823229,391,516,1753957841111,2025-07-31 16:00:41.111944+05:30,8,2
14,1823331,393,513,1753957841213,2025-07-31 16:00:41.212976+05:30,8,2
15,1823431,393,515,1753957841313,2025-07-31 16:00:41.313659+05:30,8,2
16,1823533,393,517,1753957841414,2025-07-31 16:00:41.414620+05:30,8,2
17,1823633,393,515,1753957841515,2025-07-31 16:00:41.515464+05:30,8,2
18,1823734,394,521,1753957841617,2025-07-31 16:00:41.617014+05:30,8,2
19,1823835,393,521,1753957841717,2025-07-31 16:00:41.717400+05:30,8,2
20,1823936,393,514,1753957841818,2025-07-31 16:00:41.818064+05:30,8,2
21,1824036,393,519,1753957841919,2025-07-31 16:00:41.918996+05:30,8,2
22,1824138,394,520,1753957842020,2025-07-31 16:00:42.020081+05:30,8,2
23,1824238,393,516,1753957842120,2025-07-31 16:00:42.120616+05:30,8,2
24,1824339,393,524,1753957842221,2025-07-31 16:00:42.221795+05:30,8,2
25,1824440,392,517,1753957842322,2025-07-31 16:00:42.322528+05:30,8,2
26,1824541,392,517,1753957842423,2025-07-31 16:00:42.423323+05:30,8,2
27,1824642,391,515,1753957842524,2025-07-31 16:00:42.524308+05:30,8,2
28,1824743,389,513,1753957842625,2025-07-31 16:00:42.625414+05:30,8,2
29,1824843,388,523,1753957842725,2025-07-31 16:00:42.725966+05:30,8,2
30,1824945,386,526,1753957842826,2025-07-31 16:00:42.826928+05:30,8,2
31,1825045,385,514,1753957842927,2025-07-31 16:00:42.927861+05:30,8,2
32,1825146,384,517,1753957843028,2025-07-31 16:00:43.028884+05:30,8,2
33,1825247,381,518,1753957843130,2025-07-31 16:00:43.130236+05:30,8,2
34,1825348,381,509,1753957843230,2025-07-31 16:00:43.230414+05:30,8,2
35,1825449,379,525,1753957843331,2025-07-31 16:00:43.331450+05:30,8,2
36,1825550,379,514,1753957843432,2025-07-31 16:00:43.432248+05:30,8,2
37,1825651,377,515,1753957843533,2025-07-31 16:00:43.533429+05:30,8,2
38,1825752,377,513,1753957843634,2025-07-31 16:00:43.634024+05:30,8,2
39,1825853,377,519,1753957843734,2025-07-31 16:00:43.734929+05:30,8,2
40,1825953,378,515,1753957843835,2025-07-31 16:00:43.835613+05:30,8,2
41,1826055,378,524,1753957843936,2025-07-31 16:00:43.936543+05:30,8,2
42,1826155,379,517,1753957844037,2025-07-31 16:00:44.037369+05:30,8,2
43,1826256,380,515,1753957844138,2025-07-31 16:00:44.138293+05:30,8,2
44,1826357,380,514,1753957844239,2025-07-31 16:00:44.239310+05:30,8,2
45,1826458,379,513,1753957844340,2025-07-31 16:00:44.340160+05:30,8,2
46,1826558,380,512,1753957844441,2025-07-31 16:00:44.441413+05:30,8,2
47,1826660,379,520,1753957844542,2025-07-31 16:00:44.542305+05:30,8,2
48,1826760,381,517,1753957844643,2025-07-31 16:00:44.642982+05:30,8,2
49,1826862,380,510,1753957844743,2025-07-31 16:00:44.743655+05:30,8,2
50,1826962,381,517,1753957844844,2025-07-31 16:00:44.844604+05:30,8,2
51,1827063,382,512,1753957844945,2025-07-31 16:00:44.945342+05:30,8,2
52,1827164,382,516,1753957845046,2025-07-31 16:00:45.046307+05:30,8,2
53,1827265,382,522,1753957845147,2025-07-31 16:00:45.147330+05:30,8,2
54,1827365,381,518,1753957845248,2025-07-31 16:00:45.248141+05:30,8,2
55,1827467,381,511,1753957845349,2025-07-31 16:00:45.349272+05:30,8,2
56,1827567,381,513,1753957845449,2025-07-31 16:00:45.449857+05:30,8,2
57,1827668,381,515,1753957845550,2025-07-31 16:00:45.550649+05:30,8,2
58,1827769,382,513,1753957845651,2025-07-31 16:00:45.651845+05:30,8,2
59,1827870,382,524,1753957845752,2025-07-31 16:00:45.752513+05:30,8,2
60,1827971,380,515,1753957845853,2025-07-31 16:00:45.853292+05:30,8,2
61,1828072,382,514,1753957845954,2025-07-31 16:00:45.954238+05:30,8,2
