GSR_mean,GSR_variance,HR_mean,HR_variance,75_percentile_GSR,75_percentile_HR,GSRmean_persen_diff,HRmean_persent_diff,GSRmean_diff,HRmean_diff,valence_acc_video,arousal_acc_video,P_id,video_id,Score,time,valence,arousal,videoID,start_time,end_time,probe
0.4894736842105263,0.0002008310249307,0.0335181236673773,1.4919008369665455e-05,0.5,0.0362473347547974,0.0167834413197836,0.4201980924678181,0.0167834413197836,0.4201980924678181,1,0,24,6,0.0779366451884466,1754562572409.0,5.0,5.0,6.0,1754562572409.0,1754562577409.0,1
0.4892105263157894,0.0001294321329639,0.0356503198294242,1.2918653761348504e-05,0.5,0.0383795309168443,0.0170465992145204,0.4180658963057712,0.0170465992145204,0.4180658963057712,1,0,24,6,0.1112622093477568,1754562582016.4,5.0,5.8,6.0,1754562577410.0,1754562582410.0,1
0.5010526315789474,0.0001581717451523,0.0360767590618336,1.1973031582871467e-05,0.5131578947368421,0.0383795309168443,0.0052044939513624,0.4176394570733618,0.0052044939513624,0.4176394570733618,1,0,24,6,0.0082367411304378,1754562583774.3333,6.109166666666667,6.954166666666667,6.0,1754562582411.0,1754562587411.0,0
0.5078947368421052,0.0002631578947368,0.0371002132196161,1.036547387946038e-05,0.5131578947368421,0.0383795309168443,0.0016376113117952,0.4166160029155793,0.0016376113117952,0.4166160029155793,1,0,24,6,0.000524958808099,1754562590430.077,7.624615384615386,8.117692307692309,6.0,1754562587412.0,1754562592412.0,0
0.5163157894736843,0.0002808864265927,0.0373134328358208,1.2774991930387572e-05,0.5263157894736842,0.0383795309168443,0.0100586639433744,0.4164027832993746,0.0100586639433744,0.4164027832993746,1,0,24,6,0.0498793578432732,1754562595105.25,6.546000000000001,8.014499999999998,6.0,1754562592413.0,1754562597413.0,0
0.5210526315789474,0.0001523545706371,0.0388486140724946,9.872659244138672e-06,0.5263157894736842,0.0405117270788912,0.0147955060486375,0.4148676020627008,0.0147955060486375,0.4148676020627008,1,0,24,6,0.1114553972530334,1754562599130.6667,7.488333333333333,8.330833333333336,6.0,1754562597414.0,1754562602414.0,0
0.5302631578947369,0.0001402354570637,0.0413646055437099,1.6002836866535322e-05,0.5394736842105263,0.044776119402985,0.024006032364427,0.4123516105914855,0.024006032364427,0.4123516105914855,1,0,24,6,0.0473016288054111,1754562605227.647,7.762352941176471,8.559999999999999,6.0,1754562602415.0,1754562607415.0,0
0.5339473684210527,0.000208379501385,0.0441791044776118,1.0554598315155793e-05,0.5394736842105263,0.0469083155650319,0.0276902428907428,0.4095371116575836,0.0276902428907428,0.4095371116575836,1,0,24,6,0.11893660849001,1754562610318.2666,7.684,7.915333333333334,6.0,1754562607416.0,1754562612416.0,0
0.5421052631578948,0.0002077562326869,0.0469083155650319,8.001418433267783e-06,0.5526315789473685,0.0490405117270788,0.0358481376275848,0.4068079005701635,0.0358481376275848,0.4068079005701635,1,0,24,6,0.1909675751973153,1754562615433.1667,6.954166666666666,7.177499999999999,6.0,1754562612417.0,1754562617417.0,0
0.56,0.0002019390581717,0.0493816631130063,1.5886452598415343e-05,0.5657894736842105,0.0511727078891258,0.0537428744696901,0.4043345530221891,0.0537428744696901,0.4043345530221891,1,0,24,6,0.0824126064648551,1754562619442.4285,7.935,6.350714285714284,6.0,1754562617418.0,1754562622418.0,0
