1,3.0,22,43.03145432472229
1,4.0,14,43.03145432472229
1,5.0,7,43.03145432472229
1,6.0,29,43.03145432472229
2,3.0,4,43.52837657928467
2,4.0,1,43.52837657928467
2,5.0,0,43.52837657928467
2,6.0,30,43.52837657928467
3,3.0,2,42.94252061843872
3,4.0,13,42.94252061843872
3,5.0,19,42.94252061843872
3,6.0,29,42.94252061843872
4,3.0,23,42.84642839431763
4,4.0,32,42.84642839431763
4,5.0,28,42.84642839431763
4,6.0,30,42.84642839431763
5,3.0,22,43.87634348869324
5,4.0,28,43.87634348869324
5,5.0,23,43.87634348869324
5,6.0,24,43.87634348869324
6,3.0,5,44.33529257774353
6,4.0,20,44.33529257774353
6,5.0,30,44.33529257774353
6,6.0,15,44.33529257774353
7,3.0,16,44.82040739059448
7,4.0,19,44.82040739059448
7,5.0,16,44.82040739059448
7,6.0,26,44.82040739059448
8,3.0,18,44.32143807411194
8,4.0,31,44.32143807411194
8,5.0,24,44.32143807411194
8,6.0,19,44.32143807411194
9,3.0,14,45.309364557266235
9,4.0,30,45.309364557266235
9,5.0,15,45.309364557266235
9,6.0,18,45.309364557266235
10,3.0,20,44.562143325805664
10,4.0,20,44.562143325805664
10,5.0,23,44.562143325805664
10,6.0,29,44.562143325805664
11,3.0,17,45.527528285980225
11,4.0,16,45.527528285980225
11,5.0,10,45.527528285980225
11,6.0,25,45.527528285980225
12,3.0,0,45.44414234161377
12,4.0,6,45.44414234161377
12,5.0,27,45.44414234161377
12,6.0,15,45.44414234161377
13,3.0,9,45.28047561645508
13,4.0,31,45.28047561645508
13,5.0,23,45.28047561645508
13,6.0,28,45.28047561645508
14,3.0,0,45.25164198875427
14,4.0,32,45.25164198875427
14,5.0,25,45.25164198875427
14,6.0,28,45.25164198875427
15,3.0,23,46.294172048568726
15,4.0,25,46.294172048568726
15,5.0,21,46.294172048568726
15,6.0,25,46.294172048568726
16,3.0,1,46.22441053390503
16,4.0,5,46.22441053390503
16,5.0,28,46.22441053390503
16,6.0,12,46.22441053390503
17,3.0,7,46.618433475494385
17,4.0,28,46.618433475494385
17,5.0,27,46.618433475494385
17,6.0,26,46.618433475494385
18,3.0,0,45.86737775802612
18,4.0,0,45.86737775802612
18,5.0,27,45.86737775802612
18,6.0,24,45.86737775802612
19,3.0,6,45.75915050506592
19,4.0,19,45.75915050506592
19,5.0,20,45.75915050506592
19,6.0,27,45.75915050506592
20,3.0,7,46.468811988830566
20,4.0,26,46.468811988830566
20,5.0,21,46.468811988830566
20,6.0,25,46.468811988830566
21,3.0,0,46.16819357872009
21,4.0,11,46.16819357872009
21,5.0,27,46.16819357872009
21,6.0,25,46.16819357872009
22,3.0,17,45.88238596916199
22,4.0,32,45.88238596916199
22,5.0,26,45.88238596916199
22,6.0,29,45.88238596916199
23,3.0,23,46.335588216781616
23,4.0,32,46.335588216781616
23,5.0,28,46.335588216781616
23,6.0,29,46.335588216781616
24,3.0,19,46.302884578704834
24,4.0,17,46.302884578704834
24,5.0,11,46.302884578704834
24,6.0,28,46.302884578704834
25,3.0,0,46.16642093658447
25,4.0,0,46.16642093658447
25,5.0,27,46.16642093658447
25,6.0,27,46.16642093658447
26,3.0,14,46.081478118896484
26,4.0,19,46.081478118896484
26,5.0,10,46.081478118896484
26,6.0,25,46.081478118896484
27,3.0,10,46.36468291282654
27,4.0,33,46.36468291282654
27,5.0,28,46.36468291282654
27,6.0,29,46.36468291282654
28,3.0,16,46.683677434921265
28,4.0,9,46.683677434921265
28,5.0,14,46.683677434921265
28,6.0,3,46.683677434921265
29,3.0,23,46.18220353126526
29,4.0,7,46.18220353126526
29,5.0,27,46.18220353126526
29,6.0,29,46.18220353126526
30,3.0,0,46.749658823013306
30,4.0,1,46.749658823013306
30,5.0,28,46.749658823013306
30,6.0,27,46.749658823013306
31,3.0,15,46.588550090789795
31,4.0,24,46.588550090789795
31,5.0,26,46.588550090789795
31,6.0,28,46.588550090789795
32,3.0,23,46.701205015182495
32,4.0,20,46.701205015182495
32,5.0,0,46.701205015182495
32,6.0,27,46.701205015182495
33,3.0,20,47.01396870613098
33,4.0,31,47.01396870613098
33,5.0,28,47.01396870613098
33,6.0,10,47.01396870613098
34,3.0,22,47.11542510986328
34,4.0,12,47.11542510986328
34,5.0,27,47.11542510986328
34,6.0,27,47.11542510986328
35,3.0,0,47.005584478378296
35,4.0,32,47.005584478378296
35,5.0,14,47.005584478378296
35,6.0,28,47.005584478378296
36,3.0,21,47.03840684890747
36,4.0,30,47.03840684890747
36,5.0,27,47.03840684890747
36,6.0,27,47.03840684890747
37,3.0,22,47.74338102340698
37,4.0,31,47.74338102340698
37,5.0,25,47.74338102340698
37,6.0,28,47.74338102340698
38,3.0,12,47.376166105270386
38,4.0,31,47.376166105270386
38,5.0,27,47.376166105270386
38,6.0,28,47.376166105270386
39,3.0,0,47.77334117889404
39,4.0,14,47.77334117889404
39,5.0,27,47.77334117889404
39,6.0,27,47.77334117889404
40,3.0,3,47.30014252662659
40,4.0,16,47.30014252662659
40,5.0,22,47.30014252662659
40,6.0,26,47.30014252662659
1,3.0,22
1,4.0,29
1,5.0,21
1,6.0,29
2,3.0,21
2,4.0,26
2,5.0,12
2,6.0,28
3,3.0,6
3,4.0,25
3,5.0,13
3,6.0,24
4,3.0,23
4,4.0,32
4,5.0,17
4,6.0,30
5,3.0,23
5,4.0,28
5,5.0,27
5,6.0,30
6,3.0,23
6,4.0,32
6,5.0,27
6,6.0,29
7,3.0,23
7,4.0,29
7,5.0,22
7,6.0,29
8,3.0,22
8,4.0,13
8,5.0,15
8,6.0,23
9,3.0,13
9,4.0,31
9,5.0,26
9,6.0,20
10,3.0,21
10,4.0,32
10,5.0,24
10,6.0,29
11,3.0,15
11,4.0,30
11,5.0,13
11,6.0,28
12,3.0,15
12,4.0,22
12,5.0,28
12,6.0,29
13,3.0,21
13,4.0,32
13,5.0,24
13,6.0,27
14,3.0,1
14,4.0,32
14,5.0,28
14,6.0,29
15,3.0,21
15,4.0,14
15,5.0,7
15,6.0,12
16,3.0,14
16,4.0,21
16,5.0,26
16,6.0,24
17,3.0,23
17,4.0,31
17,5.0,18
17,6.0,29
18,3.0,23
18,4.0,24
18,5.0,28
18,6.0,28
19,3.0,11
19,4.0,32
19,5.0,25
19,6.0,29
20,3.0,14
20,4.0,24
20,5.0,24
20,6.0,25
21,3.0,20
21,4.0,17
21,5.0,28
21,6.0,29
22,3.0,21
22,4.0,32
22,5.0,28
22,6.0,19
23,3.0,23
23,4.0,32
23,5.0,28
23,6.0,29
24,3.0,19
24,4.0,26
24,5.0,21
24,6.0,28
25,3.0,2
25,4.0,17
25,5.0,28
25,6.0,27
26,3.0,22
26,4.0,31
26,5.0,17
26,6.0,27
27,3.0,23
27,4.0,33
27,5.0,28
27,6.0,29
28,3.0,23
28,4.0,26
28,5.0,15
28,6.0,12
29,3.0,23
29,4.0,19
29,5.0,28
29,6.0,29
30,3.0,19
30,4.0,15
30,5.0,28
30,6.0,29
31,3.0,16
31,4.0,26
31,5.0,26
31,6.0,27
32,3.0,19
32,4.0,32
32,5.0,10
32,6.0,29
33,3.0,16
33,4.0,32
33,5.0,28
33,6.0,28
34,3.0,23
34,4.0,31
34,5.0,28
34,6.0,27
35,3.0,23
35,4.0,32
35,5.0,28
35,6.0,29
36,3.0,23
36,4.0,32
36,5.0,28
36,6.0,29
37,3.0,23
37,4.0,23
37,5.0,28
37,6.0,29
38,3.0,12
38,4.0,32
38,5.0,21
38,6.0,27
39,3.0,18
39,4.0,29
39,5.0,28
39,6.0,29
40,3.0,13
40,4.0,24
40,5.0,25
40,6.0,29
