GSR_mean,GSR_variance,HR_mean,HR_variance,75_percentile_GSR,75_percentile_HR,GSRmean_persen_diff,HRmean_persent_diff,GSRmean_diff,HRmean_diff,valence_acc_video,arousal_acc_video,P_id,video_id
0.47851851851851845,0.00047285474775186714,0.4069230769230769,0.0048278106508875766,0.49074074074074064,0.4230769230769231,0.28567299970209226,0.08003380479199201,0.28567299970209226,0.08003380479199201,1,1,23,2
0.534074074074074,0.000962109434537419,0.4007692307692307,0.005744970414201186,0.5555555555555556,0.45192307692307687,0.23011744414653668,0.08618765094583819,0.23011744414653668,0.08618765094583819,1,1,23,2
0.6093827160493827,0.0009069349184575521,0.3892307692307692,0.00857337278106509,0.6296296296296297,0.41346153846153844,0.15480880217122805,0.09772611248429969,0.15480880217122805,0.09772611248429969,1,1,23,2
0.582962962962963,0.002074622770919067,0.3984615384615385,0.012500591715976334,0.6265432098765432,0.4423076923076923,0.1812285552576477,0.08849534325353042,0.1812285552576477,0.08849534325353042,1,1,23,2
0.5501234567901235,0.000872793781435757,0.4084615384615384,0.015600000000000004,0.5802469135802469,0.4567307692307692,0.21406806143048718,0.07849534325353053,0.21406806143048718,0.07849534325353053,1,1,23,2
0.5607407407407408,0.0008784636488340193,0.4096153846153846,0.015284763313609472,0.5802469135802469,0.4375,0.20345077747986995,0.0773414970996843,0.20345077747986995,0.0773414970996843,1,1,23,2
0.5977777777777777,0.00047608596250571554,0.4511538461538462,0.019381804733727814,0.6172839506172839,0.4807692307692308,0.16641374044283297,0.03580303556122272,0.16641374044283297,0.03580303556122272,1,1,23,2
0.565432098765432,0.0006584362139917699,0.41230769230769226,0.01449940828402367,0.5895061728395061,0.4038461538461538,0.19875941945517872,0.07464918940737664,0.19875941945517872,0.07464918940737664,1,1,23,2
0.5409876543209876,0.0004309708885840574,0.38730769230769224,0.015074112426035506,0.5555555555555556,0.4567307692307692,0.2232038638996231,0.09964918940737666,0.2232038638996231,0.09964918940737666,1,1,23,2
0.5429629629629631,0.0012649900929736341,0.3853846153846154,0.018978698224852073,0.5679012345679012,0.4038461538461538,0.22122855525764762,0.10157226633045352,0.22122855525764762,0.10157226633045352,1,1,23,2
0.5558024691358024,0.00041146166742874553,0.37115384615384606,0.013909023668639053,0.5679012345679012,0.3846153846153846,0.20838904908480826,0.11580303556122284,0.20838904908480826,0.11580303556122284,1,1,23,2
0.5362962962962962,0.00029361377838744095,0.38076923076923075,0.016923076923076926,0.5555555555555556,0.3990384615384615,0.22789522192431455,0.10618765094583815,0.22789522192431455,0.10618765094583815,1,1,23,2
0.5624691358024692,0.0004216430422191735,0.3803846153846153,0.017785355029585802,0.5802469135802469,0.43269230769230765,0.20172238241814155,0.10657226633045358,0.20172238241814155,0.10657226633045358,1,1,23,2
0.5849382716049383,0.0005724127419600671,0.3707692307692308,0.021968047337278106,0.5925925925925926,0.4230769230769231,0.17925324661567243,0.1161876509458381,0.17925324661567243,0.1161876509458381,1,1,23,2
0.6185185185185186,0.00039780521262002726,0.3723076923076923,0.02299940828402367,0.6296296296296297,0.3990384615384615,0.14567299970209213,0.11464918940737662,0.14567299970209213,0.11464918940737662,1,1,23,2
0.6375308641975308,0.00032775491540923656,0.3846153846153846,0.021982248520710065,0.654320987654321,0.4230769230769231,0.1266606540230799,0.10234149709968432,0.1266606540230799,0.10234149709968432,1,1,23,2
0.651358024691358,0.00046066148452979743,0.3765384615384615,0.021229142011834325,0.6666666666666666,0.4807692307692308,0.11283349352925276,0.11041842017660741,0.11283349352925276,0.11041842017660741,1,1,23,2
0.6832098765432099,0.00044877305288827917,0.36769230769230765,0.02234674556213018,0.7037037037037037,0.4182692307692307,0.08098164167740085,0.11926457402276125,0.08098164167740085,0.11926457402276125,1,1,23,2
0.7014814814814817,0.0004919372046944064,0.3738461538461538,0.023508284023668648,0.7253086419753086,0.4038461538461538,0.062710036739129,0.11311072786891513,0.062710036739129,0.11311072786891513,1,1,23,2
0.6765432098765433,0.0004938271604938273,0.3584615384615384,0.01888698224852071,0.691358024691358,0.3653846153846153,0.08764830834406745,0.12849534325353051,0.08764830834406745,0.12849534325353051,1,1,23,2
0.6629629629629631,0.0004160951074531319,0.36999999999999994,0.021739053254437875,0.6790123456790124,0.3653846153846153,0.10122855525764762,0.11695688171506896,0.10122855525764762,0.11695688171506896,1,1,23,2
0.6681481481481483,0.00041847279378143606,0.3746153846153847,0.020003550295857996,0.6790123456790124,0.4038461538461538,0.09604337007246244,0.11234149709968422,0.09604337007246244,0.11234149709968422,1,1,23,2
0.6832098765432099,0.0004182898948331049,0.3707692307692308,0.02161301775147929,0.7037037037037037,0.3653846153846153,0.08098164167740085,0.1161876509458381,0.08098164167740085,0.1161876509458381,1,1,23,2
