User,Threshold_0.1,Threshold_0.2,Threshold_0.30000000000000004,Threshold_0.4,Threshold_0.5,Threshold_0.6000000000000001,Threshold_0.7000000000000001,Threshold_0.8,Threshold_0.9
1,0.23669149405613574,0.23669149405613574,0.23669149405613574,0.23669149405613574,0.23669149405613574,0.23669149405613574,0.23669149405613574,0.23669149405613574,0.23669149405613574
2,0.9181007940366229,0.9860532139364933,0.9860532139364933,0.9860532139364933,0.9860532139364933,0.9860532139364933,0.9860532139364933,0.9860532139364933,0.9843006970229953
3,0.9291338582677166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.14094579008073818,0.14094579008073818,0.370485036119711
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.9383647798742139,0.9383647798742139,0.9383647798742139,0.9383647798742139,0.9383647798742139,0.9383647798742139,0.9383647798742139,0.9047619047619047,0.9047619047619047
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.24019607843137258,0.24019607843137258,0.24019607843137258,0.24019607843137258,0.24019607843137258,0.24019607843137258,0.24019607843137258,0.24019607843137258,0.24019607843137258
9,0.583585212741223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.14094579008073818,0.1700064641241112,0.3516590594389456
11,0.4411764705882353,0.4411764705882353,0.6746234725774367,0.9259080681452909,0.940868762500641,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.9560327882005268,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176
14,0.9302563037571604,0.9712911579726231,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.27848101265822783,0.27848101265822783,0.27848101265822783,0.27848101265822783,0.27848101265822783,0.27848101265822783,0.27848101265822783,0.27848101265822783,0.32098765432098764
17,0.8466179739599873,0.9653153153153154,0.9653153153153154,0.9653153153153154,0.9653153153153154,0.9653153153153154,0.9653153153153154,0.9653153153153154,0.9653153153153154
18,0.9855011531442605,0.9855011531442605,0.9855011531442605,0.9855011531442605,0.9855011531442605,0.9855011531442605,0.9855011531442605,0.9855011531442605,0.8211394302848576
19,0.9538839926214387,0.9538839926214387,0.9538839926214387,0.9538839926214387,0.9538839926214387,0.9538839926214387,0.9538839926214387,0.9538839926214387,0.9538839926214387
20,0.041846153846153845,0.041846153846153845,0.5635344247589146,0.7657886948801421,0.7979591836734694,0.7979591836734694,0.7979591836734694,0.7979591836734694,0.7979591836734694
21,0.020940170940170942,0.020940170940170942,0.020940170940170942,0.020940170940170942,0.33106227106227104,0.33106227106227104,0.3523146702903208,0.5039540256219333,0.7755298273155415
22,0.9154701250578972,0.9705882352941176,0.9779956427015251,0.9779956427015251,0.9779956427015251,0.9779956427015251,0.9779956427015251,0.9779956427015251,0.9779956427015251
23,0.3384276116723935,0.3384276116723935,0.35852780456444877,0.5503693570451437,0.6641635377555278,0.6641635377555278,0.6901348039215687,1.0,0.9847882867968951
24,1.0,1.0,1.0,1.0,1.0,1.0,0.9828984225269055,0.9828984225269055,0.9828984225269055
25,1.0,1.0,1.0,1.0,1.0,0.8266747599602694,0.7975964579380139,0.7975964579380139,0.7975964579380139
26,0.9857999484972225,0.9857999484972225,0.9857999484972225,0.9857999484972225,0.9857999484972225,0.9857999484972225,0.9857999484972225,0.9857999484972225,0.9857999484972225
27,0.10981927017382294,0.10981927017382294,0.10981927017382294,0.10981927017382294,0.10981927017382294,0.10981927017382294,0.10981927017382294,0.10981927017382294,0.10981927017382294
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0.030939648586707412,0.030939648586707412,0.030939648586707412,0.030939648586707412,0.030939648586707412,0.030939648586707412,0.030939648586707412,0.030939648586707412,0.030939648586707412
31,0.05294117647058823,0.05294117647058823,0.05294117647058823,0.05294117647058823,0.11109377437977844,0.35587279332101207,0.7347174163783161,0.8599196200219218,0.8568627450980392
32,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.11080711354309165
33,0.26981209150326796,0.5903381642512078,0.6592614966397342,0.6592614966397342,0.6744803184431668,0.8345588235294118,0.9678804855275442,0.9678804855275442,0.9678804855275442
34,0.014308426073131956,0.014308426073131956,0.014308426073131956,0.014308426073131956,0.014308426073131956,0.014308426073131956,0.014308426073131956,0.014308426073131956,0.014308426073131956
35,0.9460446247464503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,0.9853596611058217,0.9853596611058217,0.9853596611058217,0.9853596611058217,0.9853596611058217,0.9853596611058217,0.9853596611058217,0.9853596611058217,0.9853596611058217
37,0.4707824578213411,0.6286514605842337,0.7487745098039216,0.9050344462109168,0.9433342715076461,0.9705882352941176,0.9849699663941152,0.9692035006092833,0.9348039215686275
38,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.11080711354309165,0.251336898395722,0.251336898395722,0.41340581568285556
39,0.18731856378915204,0.5860827089456473,0.7088235294117647,0.8170235836269991,0.8515406162464985,0.9460446247464503,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9848646896775238
