Start,Border,End,Score
1755170571079,1755170576123,1755170581167,2.8711255036233667
1755170576123,1755170581167,1755170586211,2.225155298388067
1755170581167,1755170586211,1755170591255,0.00020537691581029582
1755170586211,1755170591255,1755170596299,0.36807765384232893
1755170591255,1755170596299,1755170601343,3.7278010168006808
1755170596299,1755170601343,1755170606387,1.2240877281015763
1755170601343,1755170606387,1755170611431,1.2385447767046245
1755170606387,1755170611431,1755170616475,0.2686583326206853
1755170611431,1755170616475,1755170621519,2.863805473474745
1755170616475,1755170621519,1755170626563,0.19559260012610813
1755170621519,1755170626563,1755170631607,0.025403483534123916
1755170626563,1755170631607,1755170636651,0.00024417073489424457
1755170631607,1755170636651,1755170641695,1.114143916924903
1755170636651,1755170641695,1755170646739,0.6140047085451498
1755170641695,1755170646739,1755170651783,2.0746370320871383
1755170646739,1755170651783,1755170656827,0.025549372227288814
1755170651783,1755170656827,1755170661871,9.898814555264757e-07
1755170656827,1755170661871,1755170666915,0.358372480688143
1755170661871,1755170666915,1755170671959,0.2865750517045209
1755170666915,1755170671959,1755170677003,1.7582264403632686
1755170671959,1755170677003,1755170682047,0.02382697490882174
1755170677003,1755170682047,1755170687091,0.3793100031522223
1755170682047,1755170687091,1755170692135,0.00020270560250829073
1755170687091,1755170692135,1755170697179,0.3219528121553299
1755170692135,1755170697179,1755170702223,0.00019241988729340465
1755170697179,1755170702223,1755170707267,0.40602671023299175
1755170702223,1755170707267,1755170712311,0.3598916754318855
1755170707267,1755170712311,1755170717355,0.00020521011424162738
1755170712311,1755170717355,1755170722399,0.07480540449673279
1755170717355,1755170722399,1755170727443,0.04948102126526849
1755170722399,1755170727443,1755170732487,0.00043183684512621
