Start,Border,End,Score
1754310811456,1754310816500,1754310821544,2.7764889806172133
1754310816500,1754310821544,1754310826588,0.581805787647745
1754310821544,1754310826588,1754310831632,2.1573525844638737
1754310826588,1754310831632,1754310836676,0.09028573676162444
1754310831632,1754310836676,1754310841720,0.04664547896127558
1754310836676,1754310841720,1754310846764,2.4496636489242953
1754310841720,1754310846764,1754310851808,2.0784832620556175
1754310846764,1754310851808,1754310856852,1.6707666631431133
1754310851808,1754310856852,1754310861896,0.027272577918094454
1754310856852,1754310861896,1754310866940,0.014494188277056952
1754310861896,1754310866940,1754310871984,0.03504246857323129
1754310866940,1754310871984,1754310877028,0.29210185137545375
1754310871984,1754310877028,1754310882072,0.2588358575685475
1754310877028,1754310882072,1754310887116,7.639508936008177e-07
1754310882072,1754310887116,1754310892160,7.695255061501705e-07
1754310887116,1754310892160,1754310897204,0.34352503875421864
1754310892160,1754310897204,1754310902248,0.26887031237986847
1754310897204,1754310902248,1754310907292,0.024025531202562123
1754310902248,1754310907292,1754310912336,0.024356986334504616
1754310907292,1754310912336,1754310917380,0.02870149596355548
1754310912336,1754310917380,1754310922424,0.0002730654134249222
1754310917380,1754310922424,1754310927468,0.2635190146627648
