Start,Border,End,Score
1752038279404,1752038284446,1752038289487,0.001148272828232988
1752038284446,1752038289487,1752038294530,0.16911960547017169
1752038289487,1752038294530,1752038299572,2.2992059179107835
1752038294530,1752038299572,1752038304613,4.270783440731748
1752038299572,1752038304613,1752038309654,6.748772290711084
1752038304613,1752038309654,1752038314696,4.607315595368103
1752038309654,1752038314696,1752038319738,1.916998052697952
1752038314696,1752038319738,1752038324780,0.00807799867004011
1752038319738,1752038324780,1752038329822,0.31696391262764667
1752038324780,1752038329822,1752038334863,0.015769151270284387
1752038329822,1752038334863,1752038339905,3.5226186203099155
1752038334863,1752038339905,1752038344947,0.03911370936400438
1752038339905,1752038344947,1752038349989,1.1502318859820864
1752038344947,1752038349989,1752038355031,0.9968026191026579
1752038349989,1752038355031,1752038360072,2.4052899847148943
1752038355031,1752038360072,1752038365114,7.813809946538645
1752038360072,1752038365114,1752038370156,0.007109782524549524
1752038365114,1752038370156,1752038375198,0.0018356280139202874
1752038370156,1752038375198,1752038380239,0.2417048040091322
1752038375198,1752038380239,1752038385281,0.014793915625208598
1752038380239,1752038385281,1752038390323,0.012702431991259311
1752038385281,1752038390323,1752038395365,2.8479794106247747
1752038390323,1752038395365,1752038400407,1.6953646640801785
1752038395365,1752038400407,1752038405448,2.5082926966620036
1752038400407,1752038405448,1752038410490,2.3879979286944546
1752038405448,1752038410490,1752038415532,0.0016601910973906286
1752038410490,1752038415532,1752038420574,0.009239800132785914
1752038415532,1752038420574,1752038425616,1.4621172127748938e-05
1752038420574,1752038425616,1752038430658,3.1499236255786025
1752038425616,1752038430658,1752038435699,5.788121508922892
1752038430658,1752038435699,1752038440741,6.808341211515277
1752038435699,1752038440741,1752038445783,0.006005692006748553
1752038440741,1752038445783,1752038450825,0.005234018093140336
1752038445783,1752038450825,1752038455866,0.004782748231678513
1752038450825,1752038455866,1752038460908,1.1288073942158487
1752038455866,1752038460908,1752038465950,0.2894889756730763
1752038460908,1752038465950,1752038470992,1.9108704114349826
1752038465950,1752038470992,1752038476033,2.215103840606118
1752038470992,1752038476033,1752038481075,0.8005915863199764
1752038476033,1752038481075,1752038486117,2.930671839349027
1752038481075,1752038486117,1752038491159,4.738598796575365
1752038486117,1752038491159,1752038496201,0.0049417489412429405
1752038491159,1752038496201,1752038501242,0.001618889059588291
1752038496201,1752038501242,1752038506284,6.8032090186130185
