Start,Border,End,Score
1753443700337,1753443705381,1753443710425,1.7693845294902335
1753443705381,1753443710425,1753443715470,0.7372852231209185
1753443710425,1753443715470,1753443720514,0.009222325427681866
1753443715470,1753443720514,1753443725557,0.4636593272532388
1753443720514,1753443725557,1753443730602,1.0671473412116517
1753443725557,1753443730602,1753443735645,0.0797733293596462
1753443730602,1753443735645,1753443740690,0.48689953139088593
1753443735645,1753443740690,1753443745734,0.010002418117001588
1753443740690,1753443745734,1753443750778,0.2237080630985971
1753443745734,1753443750778,1753443755822,1.2190096780040116
1753443750778,1753443755822,1753443760866,0.005191891056598785
1753443755822,1753443760866,1753443765910,1.4614415116766852
1753443760866,1753443765910,1753443770954,2.2877246323375253
1753443765910,1753443770954,1753443775998,2.238177342010813
1753443770954,1753443775998,1753443781042,0.012415393501368666
1753443775998,1753443781042,1753443786086,0.00938799463384321
1753443781042,1753443786086,1753443791130,0.9819522937661656
1753443786086,1753443791130,1753443796174,3.9266576695782067
1753443791130,1753443796174,1753443801218,5.575638189464966
1753443796174,1753443801218,1753443806262,0.43213435885532525
1753443801218,1753443806262,1753443811306,0.24619083251224883
1753443806262,1753443811306,1753443816350,1.4042556363380496
1753443811306,1753443816350,1753443821394,0.18120983014483583
1753443816350,1753443821394,1753443826438,2.5742969398256053
1753443821394,1753443826438,1753443831482,0.6533389297276684
1753443826438,1753443831482,1753443836526,0.29268445531028076
1753443831482,1753443836526,1753443841570,40.701274677451465
1753443836526,1753443841570,1753443846614,7.233893417699521
1753443841570,1753443846614,1753443851658,3.138781721391481
1753443846614,1753443851658,1753443856702,3.716889700724799
1753443851658,1753443856702,1753443861746,4.209056287757426
1753443856702,1753443861746,1753443866790,6.629238832483166
1753443861746,1753443866790,1753443871834,0.2536839675312148
