GSR_mean,GSR_variance,HR_mean,HR_variance,75_percentile_GSR,75_percentile_HR,GSRmean_persen_diff,HRmean_persent_diff,GSRmean_diff,HRmean_diff,valence_acc_video,arousal_acc_video,P_id,video_id,Score
0.6768141592920355,4.930691518521372e-05,0.3700271002710027,2.3783609109803925e-05,0.6814159292035398,0.3709349593495935,0.1954146449589568,0.1524011154707163,0.1954146449589568,0.1524011154707163,0,0,35,4,0.09680321264367066
0.6620353982300885,0.0009671000078314,0.3700813008130082,1.6938771013726462e-05,0.6858407079646017,0.3712737127371274,0.1806358838970099,0.1523469149287108,0.1806358838970099,0.1523469149287108,0,0,35,4,0.4493990205790823
0.5931858407079647,5.435821129297535e-05,0.3700813008130082,1.187124066362619e-05,0.5973451327433629,0.3712737127371274,0.111786326374886,0.1523469149287108,0.111786326374886,0.1523469149287108,0,0,35,4,0.5786342796274186
0.6178761061946901,0.0001141514605685,0.3693495934959349,1.5062315934812507e-05,0.6238938053097345,0.3699186991869919,0.1364765918616115,0.1530786222457841,0.1364765918616115,0.1530786222457841,0,0,35,4,0.47850971346939963
0.6416814159292035,0.0001084579841804,0.3698373983739838,1.8757940966943595e-05,0.6493362831858407,0.3699186991869919,0.1602819015961248,0.1525908173677352,0.1602819015961248,0.1525908173677352,0,0,35,4,0.43987911306673333
0.6629203539823009,7.337301276529108e-05,0.3692682926829269,2.0140862655239197e-05,0.668141592920354,0.3699186991869919,0.1815208396492222,0.1531599230587921,0.1815208396492222,0.1531599230587921,0,0,35,4,0.43098156055265147
0.6833628318584073,6.669277155611204e-05,0.3697560975609756,2.7808256402347344e-05,0.6891592920353982,0.3712737127371274,0.2019633175253287,0.1526721181807434,0.2019633175253287,0.1526721181807434,0,0,35,4,0.49959707634061984
0.7023893805309734,5.075573654945587e-05,0.369620596205962,1.963043749678703e-05,0.7079646017699115,0.3699186991869919,0.2209898661978948,0.152807619535757,0.2209898661978948,0.152807619535757,0,0,35,4,0.25421105804392213
0.6883185840707964,9.56691988409427e-05,0.3697831978319783,1.742422573277239e-05,0.6946902654867256,0.3712737127371274,0.2069190697377178,0.1526450179097407,0.2069190697377178,0.1526450179097407,0,0,35,4,0.12822471059222573
0.6981415929203538,5.583052705771807e-05,0.3696476964769647,2.1224873495347595e-05,0.7035398230088495,0.3712737127371274,0.2167420785872752,0.1527805192647542,0.2167420785872752,0.1527805192647542,0,0,35,4,0.0021853037876489664
0.6938938053097345,0.0001884955752212,0.3695934959349594,1.7300107960429357e-05,0.702433628318584,0.3709349593495935,0.2124942909766559,0.1528347198067596,0.2124942909766559,0.1528347198067596,0,0,35,4,0.3009316689319406
0.5499115044247787,0.0033479833972903,0.3697831978319783,1.4780296854459169e-05,0.5918141592920354,0.3712737127371274,0.0685119900917,0.1526450179097407,0.0685119900917,0.1526450179097407,0,0,35,4,0.4174655509510321
0.4335398230088495,0.0003896076435116,0.37,1.4424835305263708e-05,0.4469026548672566,0.3712737127371274,0.047859691324229,0.152428215741719,0.047859691324229,0.152428215741719,0,0,35,4,0.38418904151757216
0.4965486725663717,0.0003009554389537,0.3695121951219512,2.3593393115503176e-05,0.5121681415929203,0.3699186991869919,0.0151491582332931,0.1529160206197678,0.0151491582332931,0.1529160206197678,0,0,35,4,0.3547859773993449
0.5437168141592921,0.0001602631372856,0.3697289972899729,2.034429829393161e-05,0.5530973451327433,0.3699186991869919,0.0623172998262134,0.1526992184517461,0.0623172998262134,0.1526992184517461,0,0,35,4,0.5185589323579636
0.5779646017699115,0.0001353982300884,0.3693766937669377,1.689176783366757e-05,0.5873893805309734,0.3712737127371274,0.0965650874368329,0.1530515219747813,0.0965650874368329,0.1530515219747813,0,0,35,4,0.5845997922537716
0.6098230088495575,0.0001172292270342,0.3699728997289973,1.725604247912409e-05,0.618362831858407,0.3712737127371274,0.1284234945164789,0.1524553160127217,0.1284234945164789,0.1524553160127217,0,0,35,4,0.6657584186625217
0.6392920353982301,8.320150364163232e-05,0.3699186991869919,1.4321281424196385e-05,0.6460176991150443,0.3712737127371274,0.1578925210651515,0.1525095165547271,0.1578925210651515,0.1525095165547271,0,0,35,4,0.6368607272478675
0.6657522123893805,6.281619547341236e-05,0.3699728997289974,1.6154405446493543e-05,0.672566371681416,0.3712737127371274,0.1843526980563019,0.1524553160127216,0.1843526980563019,0.1524553160127216,0,0,35,4,0.4279612719875877
0.6851327433628319,6.136737410917025e-05,0.3695934959349594,1.3774869456011737e-05,0.6902654867256637,0.3699186991869919,0.2037332290297533,0.1528347198067596,0.2037332290297533,0.1528347198067596,0,0,35,4,0.41694373259643386
0.7013274336283183,4.013626752290716e-05,0.3698102981029811,9.609212623291556e-06,0.7035398230088495,0.3712737127371274,0.2199279192952397,0.1526179176387379,0.2199279192952397,0.1526179176387379,0,0,35,4,0.37517605143447375
0.6867256637168143,6.500117472002485e-05,0.370189701897019,1.1897679952409322e-05,0.6902654867256637,0.3712737127371274,0.2053261493837357,0.1522385138447,0.2053261493837357,0.1522385138447,0,0,35,4,0.0007987975020486777
0.6854867256637169,2.806797713211671e-05,0.3694579945799458,1.3044116891033517e-05,0.6902654867256637,0.3709349593495935,0.2040872113306383,0.1529702211617732,0.2040872113306383,0.1529702211617732,0,0,35,4,0.11551689130510841
0.6952212389380531,6.706868196413202e-05,0.3692682926829269,1.6101526868927352e-05,0.6991150442477876,0.3699186991869919,0.2138217246049745,0.1531599230587921,0.2138217246049745,0.1531599230587921,0,0,35,4,0.21859270228698696
0.7092920353982302,8.164304174171848e-05,0.3697018970189702,1.6771322184766654e-05,0.7157079646017699,0.3712737127371274,0.2278925210651515,0.1527263187227488,0.2278925210651515,0.1527263187227488,0,0,35,4,0.37951886354968206
0.7254867256637167,7.20181690030545e-05,0.3697289972899729,1.696594472719798e-05,0.7300884955752213,0.3712737127371274,0.2440872113306381,0.1526992184517461,0.2440872113306381,0.1526992184517461,0,0,35,4,0.30498239000050026
0.7408849557522124,4.241522437152487e-05,0.3697289972899729,1.9316103730143062e-05,0.7477876106194691,0.3712737127371274,0.2594854414191337,0.1526992184517461,0.2594854414191337,0.1526992184517461,0,0,35,4,0.6682833286802617
0.7028318584070796,0.0001373326023964,0.3692140921409214,1.2943500708719867e-05,0.7079646017699115,0.3712737127371274,0.221432344074001,0.1532141236007976,0.221432344074001,0.1532141236007976,0,0,35,4,0.0766832475552974
0.707433628318584,4.279113477954435e-05,0.3700813008130082,1.4882381886149486e-05,0.7123893805309734,0.3712737127371274,0.2260341139855054,0.1523469149287108,0.2260341139855054,0.1523469149287108,0,0,35,4,0.4195293883350104
