video_id,timestamp,GSR,HR,P_id
1,1751711137531.0,0.6666666666666666,0.2,1
1,1751711137632.0,0.4166666666666667,0.24,1
1,1751711137732.0,0.4166666666666667,0.2,1
1,1751711137832.0,0.25,0.28,1
1,1751711137932.0,0.4166666666666667,0.12,1
1,1751711138033.0,0.4166666666666667,0.24,1
1,1751711138133.0,0.625,0.12,1
1,1751711138233.0,0.4583333333333333,0.24,1
1,1751711138333.0,0.375,0.28,1
1,1751711138433.0,0.2916666666666667,0.2,1
1,1751711138534.0,0.3333333333333333,0.2,1
1,1751711138634.0,0.4166666666666667,0.28,1
1,1751711138734.0,0.5833333333333334,0.32,1
1,1751711138835.0,0.5,0.44,1
1,1751711138935.0,0.4166666666666667,0.56,1
1,1751711139035.0,0.2916666666666667,0.72,1
1,1751711139136.0,0.3333333333333333,0.8,1
1,1751711139236.0,0.4166666666666667,0.84,1
1,1751711139336.0,0.5,0.84,1
1,1751711139437.0,0.5416666666666666,0.68,1
1,1751711139537.0,0.375,0.6,1
1,1751711139638.0,0.3333333333333333,0.44,1
1,1751711139738.0,0.3333333333333333,0.4,1
1,1751711139838.0,0.5,0.24,1
1,1751711139938.0,0.5416666666666666,0.16,1
1,1751711140038.0,0.4166666666666667,0.2,1
1,1751711140139.0,0.375,0.12,1
1,1751711140239.0,0.2916666666666667,0.16,1
1,1751711140339.0,0.3333333333333333,0.16,1
1,1751711140439.0,0.4166666666666667,0.2,1
1,1751711140539.0,0.5416666666666666,0.2,1
1,1751711140640.0,0.5,0.16,1
1,1751711140740.0,0.4166666666666667,0.28,1
1,1751711140840.0,0.3333333333333333,0.2,1
1,1751711140940.0,0.2916666666666667,0.32,1
1,1751711141040.0,0.5,0.28,1
1,1751711141141.0,0.5416666666666666,0.4,1
1,1751711141241.0,0.5,0.4,1
1,1751711141342.0,0.4166666666666667,0.32,1
1,1751711141442.0,0.2916666666666667,0.28,1
1,1751711141542.0,0.375,0.2,1
1,1751711141643.0,0.375,0.24,1
1,1751711141743.0,0.5416666666666666,0.16,1
1,1751711141843.0,0.4583333333333333,0.2,1
1,1751711141944.0,0.4166666666666667,0.08,1
1,1751711142044.0,0.375,0.16,1
1,1751711142144.0,0.2916666666666667,0.24,1
1,1751711142245.0,0.4583333333333333,0.2,1
1,1751711142345.0,0.4583333333333333,0.2,1
1,1751711142445.0,0.5416666666666666,0.2,1
1,1751711142545.0,0.4166666666666667,0.24,1
1,1751711142646.0,0.2916666666666667,0.24,1
1,1751711142746.0,0.2916666666666667,0.24,1
1,1751711142846.0,0.375,0.32,1
1,1751711142946.0,0.5,0.32,1
1,1751711143046.0,0.5416666666666666,0.24,1
1,1751711143147.0,0.4166666666666667,0.32,1
1,1751711143247.0,0.4166666666666667,0.32,1
1,1751711143347.0,0.2916666666666667,0.52,1
1,1751711143447.0,0.4583333333333333,0.64,1
1,1751711143547.0,0.5416666666666666,0.84,1
1,1751711143647.0,0.5,0.92,1
1,1751711143748.0,0.4166666666666667,0.84,1
1,1751711143848.0,0.3333333333333333,0.8,1
1,1751711143949.0,0.2916666666666667,0.68,1
1,1751711144049.0,0.3333333333333333,0.48,1
1,1751711144149.0,0.4583333333333333,0.44,1
1,1751711144249.0,0.5833333333333334,0.2,1
1,1751711144350.0,0.4166666666666667,0.24,1
1,1751711144450.0,0.375,0.08,1
1,1751711144550.0,0.2916666666666667,0.08,1
1,1751711144650.0,0.3333333333333333,0.12,1
1,1751711144750.0,0.5,0.2,1
1,1751711144851.0,0.5,0.16,1
1,1751711144951.0,0.5,0.12,1
1,1751711145051.0,0.3333333333333333,0.2,1
1,1751711145151.0,0.3333333333333333,0.28,1
1,1751711145252.0,0.375,0.28,1
1,1751711145352.0,0.5,0.2,1
1,1751711145452.0,0.5833333333333334,0.28,1
1,1751711145553.0,0.5,0.28,1
1,1751711145653.0,0.375,0.12,1
1,1751711145753.0,0.25,0.28,1
1,1751711145854.0,0.4583333333333333,0.24,1
1,1751711145954.0,0.4583333333333333,0.28,1
1,1751711146054.0,0.5,0.32,1
1,1751711146155.0,0.4583333333333333,0.24,1
1,1751711146255.0,0.3333333333333333,0.24,1
1,1751711146355.0,0.25,0.2,1
1,1751711146456.0,0.4583333333333333,0.16,1
1,1751711146556.0,0.4583333333333333,0.2,1
1,1751711146656.0,0.5833333333333334,0.24,1
1,1751711146756.0,0.4166666666666667,0.2,1
1,1751711146857.0,0.375,0.2,1
1,1751711146957.0,0.25,0.16,1
1,1751711147057.0,0.375,0.2,1
1,1751711147157.0,0.4166666666666667,0.28,1
1,1751711147258.0,0.5416666666666666,0.16,1
1,1751711147358.0,0.5833333333333334,0.24,1
1,1751711147458.0,0.4166666666666667,0.28,1
1,1751711147559.0,0.2916666666666667,0.24,1
1,1751711147659.0,0.4583333333333333,0.24,1
1,1751711147759.0,0.4166666666666667,0.32,1
1,1751711147860.0,0.5833333333333334,0.36,1
1,1751711147960.0,0.4166666666666667,0.56,1
1,1751711148060.0,0.4166666666666667,0.6,1
1,1751711148160.0,0.2916666666666667,0.8,1
1,1751711148261.0,0.4166666666666667,0.8,1
1,1751711148361.0,0.4166666666666667,0.88,1
1,1751711148461.0,0.5,0.76,1
1,1751711148561.0,0.5,0.72,1
1,1751711148661.0,0.4166666666666667,0.52,1
1,1751711148761.0,0.3333333333333333,0.4,1
1,1751711148862.0,0.3333333333333333,0.32,1
1,1751711148962.0,0.4166666666666667,0.24,1
1,1751711149062.0,0.5416666666666666,0.2,1
1,1751711149162.0,0.5416666666666666,0.08,1
1,1751711149262.0,0.4166666666666667,0.08,1
1,1751711149363.0,0.375,0.12,1
1,1751711149463.0,0.2916666666666667,0.12,1
1,1751711149563.0,0.4166666666666667,0.2,1
1,1751711149663.0,0.5,0.24,1
1,1751711149764.0,0.5833333333333334,0.2,1
1,1751711149864.0,0.375,0.16,1
1,1751711149964.0,0.25,0.32,1
1,1751711150064.0,0.3333333333333333,0.24,1
