GSR_mean,GSR_variance,HR_mean,HR_variance,75_percentile_GSR,75_percentile_HR,GSRmean_persen_diff,HRmean_persent_diff,GSRmean_diff,HRmean_diff,valence_acc_video,arousal_acc_video,P_id,video_id,Score
0.7513157894736843,5.193905817174502e-05,0.3606666666666666,0.0026084444444444,0.756578947368421,0.4,0.1010065789719479,0.0981078978593864,0.1010065789719479,0.0981078978593864,1,0,5,6,0.033510571433408805
0.7571052631578948,4.127423822714701e-05,0.3506666666666666,0.0011217777777777,0.7631578947368421,0.3666666666666666,0.1067960526561585,0.1081078978593864,0.1067960526561585,0.1081078978593864,1,0,5,6,0.0339650490314519
0.7694736842105263,5.706371191135733e-05,0.3653333333333333,0.0018204444444444,0.7763157894736842,0.4,0.11916447370879,0.0934412311927198,0.11916447370879,0.0934412311927198,1,0,5,6,0.0670505178005442
0.7868421052631581,4.847645429362881e-05,0.3619999999999999,0.0017782222222222,0.7894736842105263,0.3666666666666666,0.1365328947614218,0.0967745645260532,0.1365328947614218,0.0967745645260532,1,0,5,6,0.023576678458327453
0.7969736842105264,6.234418282548484e-05,0.3393333333333333,0.0011862222222222,0.8026315789473685,0.3666666666666666,0.1466644737087901,0.1194412311927197,0.1466644737087901,0.1194412311927197,1,0,5,6,0.03885695056882877
0.8071052631578947,4.231301939058158e-05,0.3633333333333333,0.0010333333333333,0.8092105263157895,0.3666666666666666,0.1567960526561583,0.0954412311927198,0.1567960526561583,0.0954412311927198,1,0,5,6,0.02098519040484121
0.8169736842105264,3.582063711911341e-05,0.346,0.0019506666666666,0.8223684210526315,0.3666666666666666,0.1666644737087901,0.112774564526053,0.1666644737087901,0.112774564526053,1,0,5,6,0.0456307857230832
0.8256578947368421,3.679016620498639e-05,0.3539999999999999,0.0008839999999999,0.8289473684210527,0.3666666666666666,0.1753486842351058,0.1047745645260531,0.1753486842351058,0.1047745645260531,1,0,5,6,0.05303181167371962
0.8423684210526317,5.5332409972299325e-05,0.3653333333333332,0.0014204444444444,0.8486842105263158,0.4,0.1920592105508953,0.0934412311927198,0.1920592105508953,0.0934412311927198,1,0,5,6,0.031539987585627954
0.8510526315789474,3.594182825484755e-05,0.3646666666666667,0.0020182222222222,0.8552631578947368,0.3916666666666666,0.2007434210772111,0.0941078978593863,0.2007434210772111,0.0941078978593863,1,0,5,6,6.0589770148567504e-05
0.8498684210526316,3.0626731301939125e-05,0.358,0.0025248888888888,0.8552631578947368,0.3666666666666666,0.1995592105508953,0.1007745645260531,0.1995592105508953,0.1007745645260531,1,0,5,6,0.010282534349395248
0.8544736842105263,4.612188365650955e-05,0.3566666666666666,0.0019222222222222,0.8601973684210527,0.3666666666666666,0.2041644737087899,0.1021078978593864,0.2041644737087899,0.1021078978593864,1,0,5,6,0.013630692792953869
