,FPR
1.0,0.5918367346938775
2.0,0.4375
3.0,0.39705882352941174
4.0,0.0
5.0,0.26785714285714285
6.0,0.3137254901960784
7.0,0.05263157894736842
8.0,0.15
9.0,0.046875
10.0,0.44
11.0,0.7878787878787878
12.0,0.4461538461538462
13.0,0.0
14.0,0.07407407407407407
15.0,0.0
16.0,0.058823529411764705
17.0,0.15789473684210525
18.0,0.2647058823529412
19.0,0.18333333333333332
20.0,0.390625
21.0,0.22413793103448276
22.0,0.0
23.0,0.3114754098360656
24.0,0.015151515151515152
25.0,0.5614035087719298
26.0,0.06451612903225806
27.0,0.0
28.0,0.35294117647058826
29.0,0.0
30.0,0.3389830508474576
31.0,0.0
32.0,0.38
33.0,0.04838709677419355
34.0,0.14516129032258066
35.0,0.21666666666666667
36.0,0.08333333333333333
37.0,0.1206896551724138
38.0,0.58
39.0,0.5
40.0,0.23333333333333334
