GSR_mean,GSR_variance,HR_mean,HR_variance,75_percentile_GSR,75_percentile_HR,GSRmean_persen_diff,HRmean_persent_diff,GSRmean_diff,HRmean_diff,valence_acc_video,arousal_acc_video,P_id,video_id,Score,time,valence,arousal,videoID,start_time,end_time,probe
0.5106904231625836,0.0051879206948378,0.0718473895582328,1.2304640247737932e-05,0.5590200445434298,0.07429718875502,0.0905944289530311,0.0369246627600483,0.0905944289530311,0.0369246627600483,1,0,13,6,0.1512833358911661,1754116679640.0,5.0,5.0,6.0,1754116679640.0,1754116684640.0,1
0.2247216035634743,0.0009583781826479,0.0689156626506023,1.5877163271560128e-05,0.2266146993318484,0.0702811244979919,0.3765632485521404,0.0398563896676788,0.3765632485521404,0.0398563896676788,1,0,13,6,0.0648677807919736,1754116684988.0,5.0,5.135,6.0,1754116684641.0,1754116689641.0,1
0.3075278396436525,0.0017783324487477,0.0739357429718875,7.69181142239646e-06,0.3452115812917594,0.0763052208835341,0.2937570124719622,0.0348363093463937,0.2937570124719622,0.0348363093463937,1,0,13,6,0.0788524722194316,1754116692361.6667,6.798518518518518,6.937407407407407,6.0,1754116689642.0,1754116694642.0,0
0.3812472160356347,0.0001346600463291,0.0723293172690762,8.143417041660594e-06,0.391425389755011,0.07429718875502,0.22003763607998,0.0364427350492049,0.22003763607998,0.0364427350492049,1,0,13,6,0.0843182876885584,1754116696521.7778,8.172222222222224,7.696666666666668,6.0,1754116694643.0,1754116699643.0,0
0.4150111358574609,0.0001096442973993,0.0739357429718874,3.982193835583306e-06,0.4209354120267261,0.07429718875502,0.1862737162581538,0.0348363093463937,0.1862737162581538,0.0348363093463937,1,0,13,6,0.0420779404919666,1754116696521.7778,8.172222222222224,7.696666666666668,6.0,1754116694643.0,1754116699643.0,0
0.4510913140311803,8.019999900794147e-05,0.0743775100401605,9.348236318769138e-06,0.4565701559020044,0.0763052208835341,0.1501935380844344,0.0343945422781206,0.1501935380844344,0.0343945422781206,1,0,13,6,0.1170968811697282,1754116706082.0,7.400000000000001,6.866666666666667,6.0,1754116704645.0,1754116709645.0,0
0.4751447661469932,4.7739842560304734e-05,0.0744176706827308,5.227335042983231e-06,0.4810690423162583,0.0763052208835341,0.1261400859686215,0.0343543816355503,0.1261400859686215,0.0343543816355503,1,0,13,6,0.1366062709559095,1754116713877.0,7.4,6.87,6.0,1754116709646.0,1754116714646.0,0
0.490957683741648,1.114280187102251e-05,0.0734538152610441,1.1143368655344292e-05,0.4944320712694877,0.0763052208835341,0.1103271683739667,0.035318237057237,0.1103271683739667,0.035318237057237,1,0,13,6,0.1279297303590718,1754116717091.2,7.454000000000001,7.612,6.0,1754116714647.0,1754116719647.0,0
0.5021380846325167,1.670825045510705e-05,0.0700803212851405,2.1169013403009585e-05,0.505011135857461,0.07429718875502,0.099146767483098,0.0386917310331407,0.099146767483098,0.0386917310331407,1,0,13,6,0.0777188977973256,1754116719903.5,7.8,8.2,6.0,1754116719648.0,1754116724648.0,0
0.4901559020044542,0.0001007614049533,0.0656626506024096,6.814406219254538e-06,0.5011135857461024,0.0682730923694779,0.1111289501111605,0.0431094017158716,0.1111289501111605,0.0431094017158716,1,0,13,6,0.0497338457308053,1754116728488.0,8.2,8.335,6.0,1754116724649.0,1754116729649.0,0
0.4905122494432071,1.618245941240375e-05,0.0649397590361445,7.517620683537378e-06,0.4938752783964364,0.0662650602409638,0.1107726026724076,0.0438322932821367,0.1107726026724076,0.0438322932821367,1,0,13,6,0.0160376029066379,1754116730821.0,7.933333333333333,8.73,6.0,1754116729650.0,1754116734650.0,0
0.4927839643652561,2.2581237196244145e-05,0.0652208835341364,1.0844986371187622e-05,0.4961024498886414,0.0682730923694779,0.1085008877503586,0.0435511687841447,0.1085008877503586,0.0435511687841447,1,0,13,6,0.105984099559491,1754116730821.0,7.933333333333333,8.73,6.0,1754116729650.0,1754116734650.0,0
